id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,learning_rate,batch_size,scaler_type,total_params,smape,is_better,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,mlp.0.weight_frobenius_norm,mlp.0.weight_spectral_norm,mlp.0.weight_alpha,mlp.0.weight_alpha_hat,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.1.weight_frobenius_norm,mlp.1.weight_spectral_norm,mlp.1.weight_alpha,mlp.1.weight_alpha_hat,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,mlp.2.weight_frobenius_norm,mlp.2.weight_spectral_norm,mlp.2.weight_alpha,mlp.2.weight_alpha_hat,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min,out.weight_frobenius_norm,out.weight_spectral_norm,out.weight_alpha,out.weight_alpha_hat
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_16_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,1000,0.01,16,identity,320,0.08496472239494324,False,0.057075660675764084,0.030779611319303513,0.21275359392166138,0.6022335886955261,-0.3672715127468109,2.158259868621826,1.4340661764144897,1.5989310468889264,3.1121550798017914,0.015997081995010376,0.06387767195701599,0.40554341673851013,0.9459500312805176,-2.27146577835083,3.246870279312134,2.5442206859588623,1.2780459759667204,4.276315574466141,0.062528595328331,0.0023537781089544296,0.2829282879829407,1.0307533740997314,-0.4786122441291809,2.3180439472198486,1.5458310842514038,1.1663975137067215,3.248582361743625,0.09997554123401642,0.10106540471315384,0.2298855036497116,0.6036242246627808,-0.37672027945518494,2.00547194480896,1.5607082843780518,1.146323433536225,1.9677090459409052
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_16_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,1000,0.01,16,standard,320,0.07128199189901352,True,0.16612650454044342,0.09675970673561096,0.3990243375301361,1.2481019496917725,-0.9274566769599915,4.234922409057617,3.0020124912261963,1.501888701497447,2.2900191121411635,-0.040647175163030624,0.05333220213651657,0.641320526599884,1.860498070716858,-1.949965238571167,5.1408586502075195,3.4930636882781982,1.208991164066254,3.0372018018176634,0.1379200518131256,0.06299833953380585,0.4501773715019226,1.7283260822296143,-0.6664753556251526,3.766645908355713,3.3970630168914795,1.154112696188832,7.0336045221075745,0.05982375144958496,0.06886579096317291,0.18252143263816833,0.3950447142124176,-0.2765914797782898,1.5366030931472778,0.8957505822181702,1.1333927935409238,1.4301399448079026
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_16_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,1000,0.01,16,robust,320,0.07254238426685333,True,0.19426433742046356,0.07075350731611252,0.47410449385643005,1.823448657989502,-0.9546876549720764,5.0200910568237305,3.6155216693878174,1.4454107796188338,5.308806809400121,-0.027458127588033676,0.10505906492471695,0.6477859020233154,1.2280375957489014,-2.2026214599609375,5.186941146850586,3.2434427738189697,1.1936009343270952,1.5744555415345456,-0.036262236535549164,0.020476164296269417,0.3096591830253601,1.0711361169815063,-0.8115169405937195,2.494201421737671,1.6827605962753296,1.3804035120706206,2.967120265057796,0.03575660288333893,-0.0026797358877956867,0.19942106306552887,0.43995893001556396,-0.6922083497047424,1.6208105087280273,0.9036180973052979,1.1785510822103737,1.3868058305204056
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_16_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,8,1000,0.01,16,minmax,320,0.077363021671772,True,0.17009179294109344,0.08919743448495865,0.4293130934238434,1.6486400365829468,-0.975166380405426,4.524503707885742,3.8182356357574463,1.3613846204325795,6.965799518738287,-0.11549996584653854,-0.07913538813591003,0.4556894302368164,0.7685714960098267,-2.5650951862335205,3.7607922554016113,2.914585828781128,1.1311061127652786,4.0572316606328105,-0.009011572226881981,-0.01640038937330246,0.22453263401985168,0.6871021389961243,-0.3609045743942261,1.797707200050354,1.2427995204925537,1.2580864526732363,2.578625441506141,0.06478292495012283,0.11088236421346664,0.1935894638299942,0.5320809483528137,-0.5217068195343018,1.6331310272216797,1.1114006042480469,1.2260290903950672,1.8251040462679453
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_32_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,1000,0.01,32,identity,320,0.08357184380292892,False,0.04917896166443825,0.022664301097393036,0.22933626174926758,0.7233275175094604,-0.43341967463493347,2.2981109619140625,1.4060635566711426,1.6932773779745751,2.134973748283251,0.025185275822877884,0.05262983590364456,0.34103336930274963,0.9445385336875916,-1.3089163303375244,2.73569655418396,1.9720157384872437,1.3173446227464405,3.6554502299202225,0.14754077792167664,0.052901819348335266,0.4162294864654541,1.52959406375885,-0.6105380654335022,3.5328428745269775,3.068901538848877,1.149321771982059,5.571912007565112,0.036186765879392624,0.10653313994407654,0.37537431716918945,0.5354964733123779,-0.9235976338386536,3.016916036605835,2.7369866371154785,1.0915741015592832,4.2005120072334154
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_32_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,1000,0.01,32,standard,320,0.07244873046875,True,0.12761050462722778,0.06935425847768784,0.41029804944992065,1.280882477760315,-0.8780800104141235,4.210032939910889,2.9678237438201904,1.3018538664836405,2.607149294587891,0.020116038620471954,0.10528454184532166,0.5955317616462708,0.9466238617897034,-2.487671375274658,4.766971111297607,3.4206302165985107,1.229370709931408,3.6117102555539304,-0.07100460678339005,-0.020052112638950348,0.39802706241607666,0.8457913994789124,-1.046582579612732,3.2344861030578613,1.9845095872879028,1.1903010109727274,1.8084786526613892,-0.08917325735092163,0.03283733129501343,0.4558653235435486,0.5316535830497742,-1.6497904062271118,3.7160415649414062,3.3946053981781006,1.142663831572119,7.755793597031795
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_32_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,1000,0.01,32,robust,320,0.07428357005119324,True,0.14851351082324982,0.0829712301492691,0.47544047236442566,2.57535457611084,-0.8277192115783691,4.880327224731445,3.6206912994384766,1.4919240193582117,3.228547105471035,-0.09615269303321838,0.061682455241680145,0.7274897694587708,1.1597427129745483,-2.689574718475342,5.870532512664795,4.329150199890137,1.2062295180313016,3.3118191453608357,-0.09380366653203964,-0.07193874567747116,0.3040978014469147,0.5870632529258728,-0.9527783393859863,2.545893669128418,1.5608919858932495,1.2523952846175046,2.1541780019655974,0.08750293403863907,0.11459414660930634,0.22551614046096802,0.5723406672477722,-0.9156826138496399,1.9351783990859985,1.4904814958572388,1.1683484786180842,3.4470542582903216
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_32_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,8,1000,0.01,32,minmax,320,0.07925496995449066,True,0.17601589858531952,0.05616330727934837,0.44505223631858826,1.9001824855804443,-0.6901634931564331,4.689252853393555,4.223132610321045,1.4673746160528827,9.221827205807188,0.024425730109214783,-0.0006188719999045134,0.4621257781982422,2.2507054805755615,-0.9562368392944336,3.7021665573120117,2.6887528896331787,1.217248122957277,3.097130109121135,-0.03516925126314163,-0.038195498287677765,0.24074113368988037,0.5921279191970825,-0.4979895353317261,1.9463717937469482,1.150452733039856,1.183893495557732,1.648069598908611,0.049909818917512894,0.06088787317276001,0.2383454144001007,0.6661156415939331,-0.6302976608276367,1.9481195211410522,1.3086613416671753,1.1739749029020021,2.2271844217186336
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_64_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,1000,0.01,64,identity,320,0.117548368871212,False,0.07119128108024597,0.03392355144023895,0.22873297333717346,0.7635360360145569,-0.3678957223892212,2.3471577167510986,1.4132543802261353,1.3595770105665435,1.926429451395266,-0.006836548447608948,0.03660903126001358,0.29717332124710083,0.7418290972709656,-0.92023766040802,2.3780155181884766,1.372702956199646,1.2024019145408253,1.9701184500010664,0.15783411264419556,0.1072363629937172,0.38760387897491455,1.528151273727417,-0.5383281111717224,3.3480582237243652,2.8703367710113525,1.309192112448525,5.67821326334524,0.15378695726394653,0.16158819198608398,0.227858766913414,0.6449129581451416,-0.38921919465065,2.199200391769409,1.5218476057052612,1.2477552505790837,2.247619672261993
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_64_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,1000,0.01,64,standard,320,0.07320746779441833,True,0.05069121718406677,-0.0029142017010599375,0.3928258419036865,1.126060128211975,-1.2485905885696411,3.880805015563965,2.58796763420105,1.4118157634386859,2.2174613340592972,-0.12038068473339081,-0.03009115159511566,0.7197059392929077,1.7127406597137451,-2.7029826641082764,5.83763313293457,4.159128189086914,1.2194284152250832,4.511681098937854,0.011736979708075523,-0.036495961248874664,0.3451533019542694,1.406376838684082,-0.8527560234069824,2.762822389602661,2.0738630294799805,1.333852468399027,2.911903092472793,-0.016727175563573837,-0.03876727819442749,0.25783035159111023,0.5624693036079407,-0.42318132519721985,2.066979169845581,1.6487431526184082,1.191055841149126,2.4910703424567044
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_64_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,1000,0.01,64,robust,320,0.07296580076217651,True,0.042895153164863586,-0.0022975648753345013,0.3594328463077545,1.4822850227355957,-0.936103105545044,3.5466980934143066,2.4847075939178467,1.5348230062301602,3.725099304422573,-0.13179412484169006,-0.0445890948176384,0.7619157433509827,1.3009060621261597,-3.039950132369995,6.185843467712402,4.466225624084473,1.2051195464919453,2.770516137886147,-0.0059702638536691666,-0.0809955894947052,0.34572020173072815,1.1970129013061523,-0.6573484539985657,2.766173839569092,1.859445333480835,1.168146746757283,1.7966786127324583,0.09117880463600159,0.08840024471282959,0.20535194873809814,0.6612565517425537,-0.39649465680122375,1.797473669052124,1.059072732925415,1.300795099679112,1.8963786855564504
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_64_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,8,1000,0.01,64,minmax,320,0.07674041390419006,True,0.11713353544473648,0.05478562414646149,0.3720066249370575,1.7220219373703003,-1.3601516485214233,3.821319341659546,3.396773099899292,1.4025596411521573,6.8285110800594735,-0.029279131442308426,-0.027851063758134842,0.43334493041038513,1.3669767379760742,-1.6396245956420898,3.474663257598877,2.2690649032592773,1.2276887588485654,2.504089285668069,-0.03855153173208237,-0.0432010143995285,0.28864941000938416,0.570334255695343,-1.0785751342773438,2.329699754714966,1.7621947526931763,1.2072003292840643,2.9852876049441273,0.0867936760187149,0.08935453742742538,0.1867271065711975,0.5385730266571045,-0.3089243769645691,1.6473039388656616,0.9350728392601013,1.1900819238248874,1.654577325010831
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_128_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,1000,0.01,128,identity,320,0.08110900968313217,True,0.014614668674767017,-0.013920288532972336,0.2379285991191864,0.6319262385368347,-0.549648106098175,2.33560848236084,1.6633321046829224,1.433599246970498,2.432083097494918,-0.022564008831977844,0.021069802343845367,0.3275735676288605,0.5491437911987305,-1.2511012554168701,2.626798391342163,1.9196568727493286,1.222687821951855,3.3649206640825575,0.06783400475978851,0.047473371028900146,0.254482239484787,0.5690407156944275,-0.5800915956497192,2.106943368911743,1.4244052171707153,1.302648946105902,3.4379917477055684,0.17236031591892242,0.19359485805034637,0.19822140038013458,0.5902982950210571,-0.29064059257507324,2.1014249324798584,1.5742822885513306,1.1619945390868431,1.9301181026347174
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_128_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,1000,0.01,128,standard,320,0.0709875077009201,True,0.20571208000183105,0.13925594091415405,0.3817281126976013,1.3004003763198853,-1.010745882987976,4.24867582321167,3.0978004932403564,1.4544707299350197,3.575684035930614,-0.03498246520757675,0.022349044680595398,0.5754204988479614,1.3385635614395142,-1.808111548423767,4.611863136291504,2.993114948272705,1.1561498918654702,1.6356382280769741,-0.05586743727326393,-0.09754210710525513,0.357500284910202,0.7960971593856812,-0.9378821849822998,2.894713878631592,1.870307207107544,1.2417370236757024,2.0788843713214873,0.1075734943151474,0.14338386058807373,0.235543355345726,0.5689668655395508,-0.40542474389076233,2.071563482284546,1.5484319925308228,1.2525295468968767,2.012929347380333
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_128_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,1000,0.01,128,robust,320,0.07290985435247421,True,0.1763310581445694,0.059992119669914246,0.5011688470840454,2.6075022220611572,-0.7765430212020874,5.20550012588501,4.175520896911621,1.5094401219976816,3.638170441982298,0.10258682817220688,0.19339820742607117,0.6065864562988281,1.5125045776367188,-2.057164192199707,4.921601295471191,3.0627505779266357,1.339322254303971,2.202305677407969,-0.02172309160232544,-0.05697330832481384,0.30227982997894287,0.7472389340400696,-0.9940011501312256,2.4244751930236816,1.5762906074523926,1.142059319328919,2.0626932260919926,0.0538305938243866,0.022685036063194275,0.17181719839572906,0.4616645276546478,-0.25344470143318176,1.4404195547103882,0.8280522227287292,1.1676188463453903,1.9471610384412816
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_128_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,8,1000,0.01,128,minmax,320,0.08849292993545532,False,0.20663048326969147,0.06651179492473602,0.4696802496910095,2.0421302318573,-0.31643199920654297,5.027562618255615,4.344020843505859,1.451137205958698,6.244592796342167,-0.03301108628511429,-0.042903751134872437,0.47730356454849243,1.1837947368621826,-1.7156482934951782,3.827550172805786,3.119645357131958,1.3172799131203612,3.648288712704797,-0.07573702931404114,-0.09123457223176956,0.2149016112089157,0.347518652677536,-0.5588175058364868,1.8228557109832764,1.254528522491455,1.260225626980119,2.754094092128029,-0.02169288694858551,-0.014766263775527477,0.17710012197494507,0.3503389060497284,-0.34516143798828125,1.4273899793624878,0.7769322395324707,1.1167229356090382,1.260843503697088
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_256_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,1000,0.01,256,identity,320,0.09391295164823532,False,0.055425871163606644,0.020770780742168427,0.22820930182933807,0.7234009504318237,-0.5053979158401489,2.300987958908081,1.437931776046753,1.5212594468713083,1.948841281220522,-0.02322162687778473,-0.022099696099758148,0.3330176770687103,1.1992839574813843,-0.9964027404785156,2.6706104278564453,1.912950873374939,1.1884722621696726,2.7430091031168344,0.15031586587429047,0.10038858652114868,0.3372266888618469,1.2922413349151611,-0.41057029366493225,2.9536874294281006,2.5659844875335693,1.15050978722177,5.736221329770686,0.1632547229528427,0.14640092849731445,0.20998990535736084,0.5605563521385193,-0.3343859910964966,2.127877712249756,1.5848056077957153,1.1611442430467465,1.9098180154496753
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_256_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,1000,0.01,256,standard,320,0.07359831780195236,True,0.04880242049694061,0.052803896367549896,0.33008909225463867,1.1300603151321411,-0.8090310096740723,3.269355535507202,2.112537384033203,1.3444117358463914,1.965205595346509,-0.1097232773900032,-0.013380931690335274,0.5711841583251953,1.0925180912017822,-2.235013723373413,4.653019905090332,3.1373403072357178,1.2646686516093382,3.015531274694067,0.028459738940000534,0.033378716558218,0.40831854939460754,0.8594970703125,-1.168320655822754,3.2744734287261963,1.9605886936187744,1.1883635194783766,1.6537251305888068,0.030157417058944702,0.10945367068052292,0.37767526507377625,0.8427532315254211,-0.9941792488098145,3.0310192108154297,2.3986597061157227,1.2201263304872239,5.21025474436045
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_256_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,1000,0.01,256,robust,320,0.0725506842136383,True,0.10026434808969498,0.03067610412836075,0.405904620885849,2.1942834854125977,-1.1495575904846191,4.096572399139404,3.1847805976867676,1.519054670725618,4.1693960064031925,-0.10366857796907425,0.038731954991817474,0.6220338344573975,1.360866904258728,-1.9724847078323364,5.044907093048096,3.2620925903320312,1.2628661026695849,2.178001002187558,-0.05011859908699989,-0.07343430072069168,0.3812832236289978,1.2333770990371704,-0.9152172803878784,3.0765044689178467,2.027381181716919,1.1442944065071654,1.981380583380392,0.10464567691087723,0.12341302633285522,0.23388192057609558,0.6147021651268005,-0.6119399666786194,2.0498034954071045,1.3828123807907104,1.3107451486803958,3.2001257743806555
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_256_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,8,1000,0.01,256,minmax,320,0.07860548794269562,True,0.09043220430612564,0.014721933752298355,0.4779411852359772,1.8415433168411255,-2.712218761444092,4.765937328338623,3.881399631500244,1.498785658286852,5.738419687154775,-0.09165727347135544,-0.05954296141862869,0.378028929233551,0.9238566160202026,-0.9075073003768921,3.1118550300598145,2.0657553672790527,1.30278869451094,2.2273119667333976,0.036649707704782486,-0.007524740416556597,0.2618192136287689,0.9156344532966614,-0.37266042828559875,2.1149752140045166,1.3310455083847046,1.2362047896308692,2.287398739143359,0.046655699610710144,0.04942554980516434,0.20118193328380585,0.5060767531394958,-0.44304898381233215,1.6521680355072021,0.9033939242362976,1.3357642079506913,1.5071820222865095
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.005_batch_size_16_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,1000,0.005,16,identity,320,0.08604332059621811,False,0.05116085335612297,0.01789611577987671,0.19852212071418762,0.5077884793281555,-0.33945634961128235,2.00866436958313,1.1946064233779907,1.5869517977579397,2.0493370787084193,0.01679365150630474,0.0495317280292511,0.2615486979484558,0.45346638560295105,-0.7489917278289795,2.09669828414917,1.3467305898666382,1.2709691962898242,1.9291603436667861,0.13826777040958405,0.13886156678199768,0.3140774369239807,1.0464001893997192,-0.3461551368236542,2.7453248500823975,2.1493239402770996,1.1286572689376495,3.7947801051350294,0.10222076624631882,0.1382969617843628,0.26160284876823425,0.5615178346633911,-0.6583069562911987,2.246919870376587,1.8089416027069092,1.2103210403890274,2.6672535226802703
