id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,learning_rate,batch_size,scaler_type,total_params,smape,is_better,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,mlp.0.weight_frobenius_norm,mlp.0.weight_spectral_norm,mlp.0.weight_alpha,mlp.0.weight_alpha_hat,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.1.weight_frobenius_norm,mlp.1.weight_spectral_norm,mlp.1.weight_alpha,mlp.1.weight_alpha_hat,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,mlp.2.weight_frobenius_norm,mlp.2.weight_spectral_norm,mlp.2.weight_alpha,mlp.2.weight_alpha_hat,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min,out.weight_frobenius_norm,out.weight_spectral_norm,out.weight_alpha,out.weight_alpha_hat
Tourism_Monthly_hidden_size_64_learning_rate_0.005_batch_size_256_scaler_type_identity,Tourism,Monthly,24,12,3,64,1000,0.005,256,identity,10700,0.08744613436035618,True,-0.021389052271842957,-0.0100516676902771,0.1949341595172882,0.5392634272575378,-2.0129570960998535,7.6856794357299805,4.303075313568115,1.5071608694036573,2.703070121002172,0.005402974784374237,-0.00622536288574338,0.16616298258304596,1.6075955629348755,-0.7980714440345764,10.640050888061523,6.199123859405518,1.145396355873181,5.754949380758268,-0.0017851211596280336,-0.006792820990085602,0.10572416335344315,0.9070090055465698,-0.5661365389823914,6.767311096191406,2.8370842933654785,1.1366715686809377,2.7248573910952896,0.01944483071565628,0.014984031207859516,0.09880945831537247,0.32787182927131653,-0.2408483624458313,2.790807008743286,1.0953441858291626,2.488553153475511,2.8691940917462597
Tourism_Monthly_hidden_size_64_learning_rate_0.005_batch_size_256_scaler_type_standard,Tourism,Monthly,24,12,3,64,1000,0.005,256,standard,10700,0.08162671953149374,True,0.03282442316412926,0.021142005920410156,0.16627714037895203,0.6554609537124634,-0.7021923661231995,6.642470359802246,2.825007200241089,1.4386333406050356,1.6793823620924297,0.014237506315112114,0.009897549636662006,0.14769595861434937,0.6237842440605164,-0.6309909224510193,9.496358871459961,3.536378860473633,1.1248513249370389,3.169896558888325,-0.008297711610794067,-0.01450924202799797,0.12267066538333893,0.8243055939674377,-0.7622880935668945,7.868862628936768,2.8601255416870117,1.0749961138548452,2.418058988112936,0.00135779136326164,0.0011707242811098695,0.09760645776987076,0.31821680068969727,-0.33125779032707214,2.7052111625671387,1.1357849836349487,2.1755602320432716,2.4002665036212836
Tourism_Monthly_hidden_size_64_learning_rate_0.005_batch_size_256_scaler_type_robust,Tourism,Monthly,24,12,3,64,1000,0.005,256,robust,10700,0.09154658276955625,False,0.026670189574360847,0.022823672741651535,0.1634030044078827,0.6005650162696838,-0.7961633205413818,6.488804340362549,2.678804636001587,1.483333256394514,1.8099935685544828,-0.0019336612895131111,-0.004715999588370323,0.14643263816833496,0.6163660287857056,-0.6310602426528931,9.372506141662598,3.0989460945129395,1.0660601828898557,2.737536136404292,-0.013337347656488419,-0.016160283237695694,0.12772469222545624,0.7365408539772034,-0.5439087152481079,8.218827247619629,2.6982667446136475,1.0987833723202989,2.434119701794942,0.02040877379477024,0.01898150146007538,0.10299480706453323,0.5333715081214905,-0.32433053851127625,2.9097723960876465,1.4279934167861938,2.6262853802585457,3.1488651417834803
Tourism_Monthly_hidden_size_64_learning_rate_0.005_batch_size_256_scaler_type_minmax,Tourism,Monthly,24,12,3,64,1000,0.005,256,minmax,10700,0.09721377123026528,False,0.036937352269887924,0.023702017962932587,0.16531893610954285,0.7140538096427917,-0.8326740860939026,6.638906955718994,2.782169818878174,1.5781700948429247,2.1016533908775843,-0.009438933804631233,-0.011744004674255848,0.16657193005084991,1.0783888101577759,-1.217202067375183,10.677705764770508,5.005693435668945,1.0900125319328922,4.472855389274615,-0.025266455486416817,-0.02840249612927437,0.12109217792749405,1.438208818435669,-0.9867338538169861,7.916804790496826,3.0916996002197266,1.1051486483076358,3.014025192323049,0.008344999514520168,0.008095050230622292,0.09296742081642151,0.34233230352401733,-0.4157726466655731,2.586747407913208,1.2445191144943237,1.923514907249053,2.3789586670713585
Tourism_Monthly_hidden_size_64_learning_rate_0.001_batch_size_16_scaler_type_identity,Tourism,Monthly,24,12,3,64,1000,0.001,16,identity,10700,0.09457950119688376,False,0.011518615297973156,0.015506007708609104,0.1337169110774994,0.3241860568523407,-0.4510717988014221,5.260018825531006,2.069547176361084,1.6033139661561613,2.0170615022988345,0.020483216270804405,0.01619335077702999,0.1101086363196373,0.6152615547180176,-0.436596542596817,7.167850017547607,3.906721353530884,1.145445409090132,3.3101005786627073,0.006458009593188763,0.003738864790648222,0.09039808064699173,0.5286069512367249,-0.33213335275650024,5.8002214431762695,2.054640531539917,1.1021012048027665,2.136936541412696,0.014596219174563885,0.013497905805706978,0.08741526305675507,0.30640995502471924,-0.19400693476200104,2.456061601638794,0.9509066343307495,2.1949015564626815,2.2830471029396593
Tourism_Monthly_hidden_size_64_learning_rate_0.001_batch_size_16_scaler_type_standard,Tourism,Monthly,24,12,3,64,1000,0.001,16,standard,10700,0.0814836625301379,True,0.013374117203056812,-0.001138973399065435,0.15530554950237274,0.5722837448120117,-0.5244418382644653,6.109236717224121,2.333784341812134,1.545498987120896,1.7736064315193232,0.025759190320968628,0.024464605376124382,0.10835206508636475,0.4406326711177826,-0.4047645926475525,7.127803325653076,2.684570550918579,1.1001901656168451,2.807875787010294,0.010720310732722282,0.010120552033185959,0.08840691298246384,0.35212957859039307,-0.46756982803344727,5.699489116668701,1.63412606716156,1.067924308689412,1.8704182606602273,0.008023708127439022,0.00925753265619278,0.08650433272123337,0.24790321290493011,-0.2853362560272217,2.40756893157959,0.941787600517273,2.4496615140440414,2.728488014167473
Tourism_Monthly_hidden_size_64_learning_rate_0.001_batch_size_16_scaler_type_robust,Tourism,Monthly,24,12,3,64,1000,0.001,16,robust,10700,0.08312432192887233,True,0.018026528880000114,0.007119884714484215,0.14850571751594543,0.5080403089523315,-0.5963507890701294,5.862934112548828,2.3766188621520996,1.5955825273931303,1.8637628587243114,0.024979479610919952,0.023225273936986923,0.10201715677976608,0.3753165304660797,-0.37289679050445557,6.721973419189453,2.3797945976257324,1.1292344781891819,2.4830976379413716,0.01191963255405426,0.011739798821508884,0.08689127117395401,0.3212601840496063,-0.2774707078933716,5.613121032714844,1.6289535760879517,1.1081743824296855,2.120317909225205,0.006948947906494141,0.008548341691493988,0.08798179030418396,0.26564866304397583,-0.28371521830558777,2.4458160400390625,0.8805716633796692,3.056729433258396,3.2039075027965045
Tourism_Monthly_hidden_size_64_learning_rate_0.001_batch_size_16_scaler_type_minmax,Tourism,Monthly,24,12,3,64,1000,0.001,16,minmax,10700,0.08135379472543855,True,0.026470476761460304,0.022609392181038857,0.13918960094451904,0.530128538608551,-0.38998594880104065,5.552866458892822,2.022804021835327,1.6258091130255765,1.8147906847142126,0.015010514296591282,0.012042252346873283,0.10090789943933487,0.4066164195537567,-0.447622150182724,6.5291666984558105,2.1818885803222656,1.1001577560232196,2.359253703334789,0.004085388034582138,0.0021516538690775633,0.08861283957958221,0.4470481872558594,-0.5193446278572083,5.67724609375,1.6500624418258667,1.1347238578610832,2.049945965884355,0.011598768644034863,0.015337690711021423,0.08374211937189102,0.25207701325416565,-0.3343604505062103,2.342884063720703,0.8612454533576965,2.6261899990295494,2.808971221064649
Tourism_Monthly_hidden_size_64_learning_rate_0.001_batch_size_32_scaler_type_identity,Tourism,Monthly,24,12,3,64,1000,0.001,32,identity,10700,0.08782249986521909,True,0.010987027548253536,0.014228311367332935,0.1355959177017212,0.33228635787963867,-0.4745647609233856,5.331669807434082,2.1716997623443604,1.6265958670409861,2.0006935569514974,0.02262108586728573,0.018325384706258774,0.11333632469177246,0.6792306900024414,-0.554350733757019,7.396594047546387,4.187400817871094,1.125593908993351,3.403426634560005,0.0067629036493599415,0.006403421983122826,0.09127387404441833,0.383118599653244,-0.4490949213504791,5.857541561126709,1.7206076383590698,1.131741957572573,2.2708380857187715,0.013728148303925991,0.012427537702023983,0.08752501010894775,0.22322134673595428,-0.1912529021501541,2.455219030380249,0.9152346253395081,2.2864506380391063,2.338172519264652
Tourism_Monthly_hidden_size_64_learning_rate_0.001_batch_size_32_scaler_type_standard,Tourism,Monthly,24,12,3,64,1000,0.001,32,standard,10700,0.08356831420769803,True,0.012936048209667206,0.0011320918565616012,0.15260331332683563,0.5493987202644348,-0.5463067293167114,6.002254486083984,2.2940592765808105,1.5511503399131292,1.8106810687398516,0.02512963116168976,0.02386154606938362,0.10543305426836014,0.3966670334339142,-0.39454543590545654,6.936734199523926,2.468956708908081,1.101798375391227,2.5256237672349693,0.013183021917939186,0.01309092529118061,0.08823734521865845,0.3458538055419922,-0.2856396734714508,5.709869861602783,1.603779673576355,1.1189302624678759,2.0643767463461105,0.009180412627756596,0.007721614092588425,0.09000477194786072,0.22242644429206848,-0.29072362184524536,2.5072267055511475,1.0172022581100464,2.503804063070316,2.7636408679940203
