id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,learning_rate,batch_size,scaler_type,total_params,smape,is_better,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,mlp.0.weight_frobenius_norm,mlp.0.weight_spectral_norm,mlp.0.weight_alpha,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.1.weight_frobenius_norm,mlp.1.weight_spectral_norm,mlp.1.weight_alpha,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,mlp.2.weight_frobenius_norm,mlp.2.weight_spectral_norm,mlp.2.weight_alpha,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min,out.weight_frobenius_norm,out.weight_spectral_norm,out.weight_alpha
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_16_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,1000,0.01,16,identity,320,0.08496472239494324,False,0.057075660675764084,0.030779611319303513,0.21275359392166138,0.6022335886955261,-0.3672715127468109,2.158259868621826,1.4340661764144897,1.5989310468889264,0.015997081995010376,0.06387767195701599,0.40554341673851013,0.9459500312805176,-2.27146577835083,3.246870279312134,2.5442206859588623,1.2780459759667204,0.062528595328331,0.0023537781089544296,0.2829282879829407,1.0307533740997314,-0.4786122441291809,2.3180439472198486,1.5458310842514038,1.1663975137067215,0.09997554123401642,0.10106540471315384,0.2298855036497116,0.6036242246627808,-0.37672027945518494,2.00547194480896,1.5607082843780518,1.146323433536225
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_16_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,1000,0.01,16,standard,320,0.07128199189901352,True,0.16612650454044342,0.09675970673561096,0.3990243375301361,1.2481019496917725,-0.9274566769599915,4.234922409057617,3.0020124912261963,1.501888701497447,-0.040647175163030624,0.05333220213651657,0.641320526599884,1.860498070716858,-1.949965238571167,5.1408586502075195,3.4930636882781982,1.208991164066254,0.1379200518131256,0.06299833953380585,0.4501773715019226,1.7283260822296143,-0.6664753556251526,3.766645908355713,3.3970630168914795,1.154112696188832,0.05982375144958496,0.06886579096317291,0.18252143263816833,0.3950447142124176,-0.2765914797782898,1.5366030931472778,0.8957505822181702,1.1333927935409238
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_16_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,1000,0.01,16,robust,320,0.07254238426685333,True,0.19426433742046356,0.07075350731611252,0.47410449385643005,1.823448657989502,-0.9546876549720764,5.0200910568237305,3.6155216693878174,1.4454107796188338,-0.027458127588033676,0.10505906492471695,0.6477859020233154,1.2280375957489014,-2.2026214599609375,5.186941146850586,3.2434427738189697,1.1936009343270952,-0.036262236535549164,0.020476164296269417,0.3096591830253601,1.0711361169815063,-0.8115169405937195,2.494201421737671,1.6827605962753296,1.3804035120706206,0.03575660288333893,-0.0026797358877956867,0.19942106306552887,0.43995893001556396,-0.6922083497047424,1.6208105087280273,0.9036180973052979,1.1785510822103737
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_16_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,8,1000,0.01,16,minmax,320,0.077363021671772,True,0.17009179294109344,0.08919743448495865,0.4293130934238434,1.6486400365829468,-0.975166380405426,4.524503707885742,3.8182356357574463,1.3613846204325795,-0.11549996584653854,-0.07913538813591003,0.4556894302368164,0.7685714960098267,-2.5650951862335205,3.7607922554016113,2.914585828781128,1.1311061127652786,-0.009011572226881981,-0.01640038937330246,0.22453263401985168,0.6871021389961243,-0.3609045743942261,1.797707200050354,1.2427995204925537,1.2580864526732363,0.06478292495012283,0.11088236421346664,0.1935894638299942,0.5320809483528137,-0.5217068195343018,1.6331310272216797,1.1114006042480469,1.2260290903950672
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_32_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,1000,0.01,32,identity,320,0.08357184380292892,False,0.04917896166443825,0.022664301097393036,0.22933626174926758,0.7233275175094604,-0.43341967463493347,2.2981109619140625,1.4060635566711426,1.6932773779745751,0.025185275822877884,0.05262983590364456,0.34103336930274963,0.9445385336875916,-1.3089163303375244,2.73569655418396,1.9720157384872437,1.3173446227464405,0.14754077792167664,0.052901819348335266,0.4162294864654541,1.52959406375885,-0.6105380654335022,3.5328428745269775,3.068901538848877,1.149321771982059,0.036186765879392624,0.10653313994407654,0.37537431716918945,0.5354964733123779,-0.9235976338386536,3.016916036605835,2.7369866371154785,1.0915741015592832
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_32_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,1000,0.01,32,standard,320,0.07244873046875,True,0.12761050462722778,0.06935425847768784,0.41029804944992065,1.280882477760315,-0.8780800104141235,4.210032939910889,2.9678237438201904,1.3018538664836405,0.020116038620471954,0.10528454184532166,0.5955317616462708,0.9466238617897034,-2.487671375274658,4.766971111297607,3.4206302165985107,1.229370709931408,-0.07100460678339005,-0.020052112638950348,0.39802706241607666,0.8457913994789124,-1.046582579612732,3.2344861030578613,1.9845095872879028,1.1903010109727274,-0.08917325735092163,0.03283733129501343,0.4558653235435486,0.5316535830497742,-1.6497904062271118,3.7160415649414062,3.3946053981781006,1.142663831572119
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_32_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,1000,0.01,32,robust,320,0.07428357005119324,True,0.14851351082324982,0.0829712301492691,0.47544047236442566,2.57535457611084,-0.8277192115783691,4.880327224731445,3.6206912994384766,1.4919240193582117,-0.09615269303321838,0.061682455241680145,0.7274897694587708,1.1597427129745483,-2.689574718475342,5.870532512664795,4.329150199890137,1.2062295180313016,-0.09380366653203964,-0.07193874567747116,0.3040978014469147,0.5870632529258728,-0.9527783393859863,2.545893669128418,1.5608919858932495,1.2523952846175046,0.08750293403863907,0.11459414660930634,0.22551614046096802,0.5723406672477722,-0.9156826138496399,1.9351783990859985,1.4904814958572388,1.1683484786180842
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_32_scaler_type_minmax,Gluonts,m1_monthly,12,8,3,8,1000,0.01,32,minmax,320,0.07925496995449066,True,0.17601589858531952,0.05616330727934837,0.44505223631858826,1.9001824855804443,-0.6901634931564331,4.689252853393555,4.223132610321045,1.4673746160528827,0.024425730109214783,-0.0006188719999045134,0.4621257781982422,2.2507054805755615,-0.9562368392944336,3.7021665573120117,2.6887528896331787,1.217248122957277,-0.03516925126314163,-0.038195498287677765,0.24074113368988037,0.5921279191970825,-0.4979895353317261,1.9463717937469482,1.150452733039856,1.183893495557732,0.049909818917512894,0.06088787317276001,0.2383454144001007,0.6661156415939331,-0.6302976608276367,1.9481195211410522,1.3086613416671753,1.1739749029020021
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_64_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,1000,0.01,64,identity,320,0.117548368871212,False,0.07119128108024597,0.03392355144023895,0.22873297333717346,0.7635360360145569,-0.3678957223892212,2.3471577167510986,1.4132543802261353,1.3595770105665435,-0.006836548447608948,0.03660903126001358,0.29717332124710083,0.7418290972709656,-0.92023766040802,2.3780155181884766,1.372702956199646,1.2024019145408253,0.15783411264419556,0.1072363629937172,0.38760387897491455,1.528151273727417,-0.5383281111717224,3.3480582237243652,2.8703367710113525,1.309192112448525,0.15378695726394653,0.16158819198608398,0.227858766913414,0.6449129581451416,-0.38921919465065,2.199200391769409,1.5218476057052612,1.2477552505790837
Gluonts_m1_monthly_hidden_size_8_learning_rate_0.01_batch_size_64_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,1000,0.01,64,standard,320,0.07320746779441833,True,0.05069121718406677,-0.0029142017010599375,0.3928258419036865,1.126060128211975,-1.2485905885696411,3.880805015563965,2.58796763420105,1.4118157634386859,-0.12038068473339081,-0.03009115159511566,0.7197059392929077,1.7127406597137451,-2.7029826641082764,5.83763313293457,4.159128189086914,1.2194284152250832,0.011736979708075523,-0.036495961248874664,0.3451533019542694,1.406376838684082,-0.8527560234069824,2.762822389602661,2.0738630294799805,1.333852468399027,-0.016727175563573837,-0.03876727819442749,0.25783035159111023,0.5624693036079407,-0.42318132519721985,2.066979169845581,1.6487431526184082,1.191055841149126
